nom,nombre_chambres,etoiles,note,nombre_avis,lien,iso,ecologique,green_leader,longitude,latitude,ville,pays,continent
Anantara Sahara Tozeur Resort & Villas,93,5,4.5,149,https://www.nh-hotels.fr/hotel/anantara-sahara-tozeur-resort-and-villas,non,non,non,8.079288,33.896404,Tozeur,Tunisie,Afrique
NH Bariloche Edelweiss,95,4,4.0,1158,https://www.nh-hotels.fr/hotel/nh-bariloche-edelweiss,non,oui,non,-71.31515,-41.1343067,Bariloche,Argentine,Amérique
NH Buenos Aires 9 de Julio,175,4,4.5,1834,https://www.nh-hotels.fr/hotel/nh-buenos-aires-9-de-julio,non,oui,oui,-58.381938,-34.606553,Buenos Aires,Argentine,Amérique
NH Buenos Aires City,302,5,4.0,2177,https://www.nh-hotels.fr/hotel/nh-buenos-aires-city,non,non,non,-58.3755967,-34.609775,Buenos Aires,Argentine,Amérique
NH Buenos Aires Florida,162,4,4.0,673,https://www.nh-hotels.fr/hotel/nh-buenos-aires-florida,non,non,non,-58.374098,-34.598123,Buenos Aires,Argentine,Amérique
NH Buenos Aires Latino,100,4,4.5,1302,https://www.nh-hotels.fr/hotel/nh-buenos-aires-latino,non,non,non,-58.379296,-34.604658,Buenos Aires,Argentine,Amérique
NH Buenos Aires Tango,108,4,4.0,1124,https://www.nh-hotels.fr/hotel/nh-buenos-aires-tango,non,oui,oui,-58.382399,-34.601616,Buenos Aires,Argentine,Amérique
NH Collection Buenos Aires Centro Histórico,67,5,4.5,255,https://www.nh-hotels.fr/hotel/nh-collection-buenos-aires-centro-historico,non,non,non,-58.3752285,-34.6086754,Buenos Aires,Argentine,Amérique
NH Collection Buenos Aires Crillon,96,4,4.0,1489,https://www.nh-hotels.fr/hotel/nh-collection-buenos-aires-crillon,non,non,non,-58.378352,-34.595145,Buenos Aires,Argentine,Amérique
NH Collection Buenos Aires Jousten,84,4,4.5,1172,https://www.nh-hotels.fr/hotel/nh-collection-buenos-aires-jousten,non,oui,non,-58.370866,-34.603003,Buenos Aires,Argentine,Amérique
NH Collection Buenos Aires Lancaster,115,4,4.5,1224,https://www.nh-hotels.fr/hotel/nh-collection-buenos-aires-lancaster,non,oui,oui,-58.372963,-34.598391,Buenos Aires,Argentine,Amérique
NH Córdoba Panorama,138,4,4.0,1068,https://www.nh-hotels.fr/hotel/nh-cordoba-panorama,non,oui,non,-64.190658,-31.416651,Cordoba,Argentine,Amérique
NH Córdoba Urbano,72,3,4.0,947,https://www.nh-hotels.fr/hotel/nh-cordoba-urbano,non,non,non,-64.189886,-31.419068,Cordoba,Argentine,Amérique
NH Gran Hotel Provincial,460,5,4.0,1483,https://www.nh-hotels.fr/hotel/nh-gran-hotel-provincial,non,non,non,-57.540518,-38.007001,Mar del Plata,Argentine,Amérique
NH Hotel Casino,65,4,3.5,85,https://www.nh-hotels.fr/hotel/nh-hotel-casino,non,non,non,-57.540518,-38.007001,Mar del Plata,Argentine,Amérique
NH Mendoza Cordillera,105,4,4.0,1322,https://www.nh-hotels.fr/hotel/nh-mendoza-cordillera,non,non,non,-68.841257,-32.887683,Mendoza,Argentine,Amérique
NH Curitiba The Five,180,4,,,https://www.nh-hotels.fr/hotel/nh-curitiba-the-five,non,non,non,-49.275939,-25.437728,Curitiba,Brésil,Amérique
NH Antofagasta,139,,4.0,516,https://www.nh-hotels.fr/hotel/nh-antofagasta,non,non,non,-70.414114,-23.681821,Antofagasta,Chili,Amérique
NH Iquique,78,4,4.0,445,https://www.nh-hotels.fr/hotel/nh-iquique,non,non,non,-70.129637,-20.267913,Iquique,Chili,Amérique
NH Ciudad de Santiago,122,4,4.0,1733,https://www.nh-hotels.fr/hotel/nh-ciudad-de-santiago,non,non,non,-70.628274,-33.435495,Santiago,Chili,Amérique
NH Collection Plaza Santiago,159,5,4.5,2234,https://www.nh-hotels.fr/hotel/nh-collection-plaza-santiago,non,non,non,-70.60485,-33.416844,Santiago,Chili,Amérique
NH Collection Santiago Casacostanera,85,4,4.5,35,https://www.nh-hotels.fr/hotel/nh-collection-santiago-casacostanera,non,non,non,-70.598065,-33.398261,Santiago,Chili,Amérique
NH Collection Barranquilla Smartsuites Royal,118,,4.5,441,https://www.nh-hotels.fr/hotel/nh-collection-barranquilla-smartsuites-royal,non,non,non,-74.8124016,11.003705,Barranquilla,Colombie,Amérique
NH Bogotá Boheme Royal,66,,4.5,624,https://www.nh-hotels.fr/hotel/nh-bogota-boheme-royal,non,oui,oui,-74.054417,4.666673,Bogotá,Colombie,Amérique
NH Bogotá Pavillon Royal,72,,4.5,382,https://www.nh-hotels.fr/hotel/nh-bogota-pavillon-royal,non,non,non,-74.046860,4.677247,Bogotá,Colombie,Amérique
NH Bogotá Urban 26 Royal,118,,4.5,363,https://www.nh-hotels.fr/hotel/nh-bogota-urban-26-royal,non,non,non,-74.083242,4.629446,Bogotá,Colombie,Amérique
NH Bogotá Urban 93 Royal,54,,4.0,280,https://www.nh-hotels.fr/hotel/nh-bogota-urban-93-royal,non,non,non,-74.053633,4.680084,Bogotá,Colombie,Amérique
NH Collection Bogotá Andino Royal,,,4.5,652,https://www.nh-hotels.fr/hotel/nh-collection-bogota-andino-royal,non,oui,non,-74.051978,4.667971,Bogotá,Colombie,Amérique
NH Collection Bogotá Hacienda Royal,82,,4.5,695,https://www.nh-hotels.fr/hotel/nh-collection-bogota-hacienda-royal,non,oui,non,-74.031895,4.692370,Bogotá,Colombie,Amérique
