full_entree,radical,prefixe,suffixe,type,forme,nb_variants,variants,categorie,nb_trads_fr,trads_fr,nb_trads_en,trads_en,nb_ex_fr,ex_fr,nb_ex_en,ex_en,audio,class_info,nb_conjugaisons,conjugaisons,dictionnaire
aalale,aala,,le,FUL,simple,1,,Verbe,1,racine qui protege contre la sorcellerie,0,,0,,0,,non,non,0,,fulfulde-français
aalali,aala,,li,FUL,simple,1,,Verbe,1,racine qui protege contre la sorcellerie,0,,0,,0,,non,non,0,,fulfulde-français
aamta,aamta,,,FUL,simple,1,,Verbe,1,se rechauffer,0,,0,,0,,non,non,0,,fulfulde-français
ɲaamugol,ɲaamu,,gol,FUL,simple,1,,Verbe,1,manger,0,,0,,0,,non,non,0,,fulfulde-français
ɲaariji,ɲaari,,ji,FUL,simple,1,,Adjectif,1,chat,0,,0,,0,,non,non,0,,fulfulde-français
ɲaariru,ɲaari,,ru,FUL,simple,1,,Adjectif,1,chat,0,,0,,0,,non,non,0,,fulfulde-français
aartu,aartu,,,FUL,simple,1,,Nom,1,commence avant,0,,0,,0,,non,non,0,,fulfulde-français
aartugo,aartu,,go,FUL,simple,1,,Nom,1,être le premier,0,,0,,0,,oui,non,0,,fulfulde-français
aawanɗe,aawan,,ɗe,FUL,simple,1,,Nom,1,mise en place des semences,0,,0,,0,,non,non,0,,fulfulde-français
aawannde,aawan,,nde,FUL,simple,1,,Nom,1,mise en place des semences,0,,0,,0,,non,non,0,,fulfulde-français
aawannde,aawan,,nde,FUL,simple,1,,Nom,1,mise en place des semences,0,,0,,0,,non,non,0,,fulfulde-français
aawannde,aawan,,nde,FUL,simple,1,,Nom,1,mise en place des semences,0,,0,,0,,non,non,0,,fulfulde-français
aawgo,aawgo,,,FUL,simple,1,,Verbe,1,semer,0,,0,,0,,non,non,0,,fulfulde-français
aawooɓe,aawoo,,ɓe,FUL,simple,1,,Nom,1,semeurs,0,,0,,0,,non,non,0,,fulfulde-français
aawoowo,aawoo,,wo,FUL,simple,1,,Adjectif,1,semeur,0,,0,,0,,non,non,0,,fulfulde-français
aawre,aawre,,,FUL,simple,1,,Verbe,1,semis en ligne ou en poquets,0,,0,,0,,non,non,0,,fulfulde-français
aawrugal,aawru,,gal,FUL,simple,1,,Nom,1,plantoir court,0,,0,,0,,non,non,0,,fulfulde-français
aawruɗi,aawru,,ɗi,FUL,simple,1,,Nom,1,gourde-semoir,0,,0,,0,,non,non,0,,fulfulde-français
aawruɗe,aawru,,ɗe,FUL,simple,1,,Verbe,1,plantoirs courts,0,,0,,0,,non,non,0,,fulfulde-français
aawrudu,aawru,,du,FUL,simple,1,,Nom,1,gourde-semoir,0,,0,,0,,non,non,0,,fulfulde-français
aayaare,aayaa,,re,FUL,simple,1,,Nom,1,verset,0,,0,,0,,non,non,0,,fulfulde-français
aayaaje,aayaa,,je,FUL,simple,1,,Nom,1,verset,0,,0,,0,,non,non,0,,fulfulde-français
abaakuhon,abaaku,,hon,FUL,simple,1,,Verbe,1,galettes frites de tourteau d’arachides,0,,0,,0,,non,non,0,,fulfulde-français
abaakuru,abaaku,,ru,FUL,simple,1,,Verbe,1,galette frite de tourteau d’arachides,0,,0,,0,,non,non,0,,fulfulde-français
abalayru,abalay,,ru,FUL,simple,1,,Adjectif,1,patas,0,,0,,0,,non,non,0,,fulfulde-français
abalayji,abalay,,ji,FUL,simple,1,,Adjectif,1,patas,0,,0,,0,,non,non,0,,fulfulde-français
abookki,abook,,ki,FUL,simple,1,,Nom,1,colporteur,0,,0,,0,,non,non,0,,fulfulde-français
abook/'en,abook,,/'en,FUL,simple,1,,Nom,1,colporteur,0,,0,,0,,non,non,0,,fulfulde-français
abudallaalla,abudallaal,,la,FUL,simple,1,,Nom,1,grand lit metallique a 2 places,0,,0,,0,,non,non,0,,fulfulde-français
adagol,ada,,gol,FUL,simple,1,,Nom,1,être le premier,0,,0,,0,,non,non,0,,fulfulde-français
